ID,Pair, Entry Price,Action,SL,TP,Time Open,Time Closed
c706be4e-e601-4564-8885-04534aed75a1,Gold,1988.15,Sell,0,1,4/28/2023 5:24:31 AM,4/28/2023 5:49:44 AM,
904e37b3-66a5-4dc5-a6af-8311cc262ada,Gold,1989.95,Sell,0,1,4/27/2023 6:08:28 PM,4/27/2023 10:45:52 PM,
98484ecb-9483-437f-9ef2-b7a800b832b5,Gold,1983.89,Sell,1,0,4/27/2023 4:30:00 PM,4/27/2023 5:14:49 PM,
668a034d-0ef7-419e-bc01-0e6671224fb5,Gold,1997.42,Buy,1,0,4/27/2023 4:55:24 AM,4/27/2023 12:44:20 PM,
4daf752b-1556-40c4-a807-ab3819c03d58,EUR/USD,1.105,Buy,1,0,4/27/2023 4:43:07 AM,4/27/2023 12:44:14 PM,
a531c911-5221-417b-8d8d-f1bfa83a3604,EUR/USD,1.1054,Sell,1,0,4/26/2023 12:53:02 PM,4/26/2023 1:24:55 PM,
3d69a783-9079-4228-b4f7-9ddcd2861f25,Gold,1995.96,Buy,0,1,4/26/2023 5:43:00 AM,4/26/2023 1:22:53 PM,
4b240b3c-5798-44c8-a6a3-d7bf86412a0f,EUR/USD,1.0986,Buy,0,1,4/26/2023 5:43:36 AM,4/26/2023 7:18:42 AM,
8aa9fe56-9ef7-4ea2-9da8-b5ea8eaa7c2b,Gold,1995.67,Buy,0,1,4/25/2023 8:56:52 PM,4/25/2023 11:00:12 PM,
513dc506-5add-46bc-8d1b-23a276437c75,USD/JPY,133.99,Sell,0,1,4/25/2023 4:33:43 PM,4/25/2023 5:19:21 PM,
51783e9d-dba5-4c65-915a-3d81d39bd726,Gold,1985.12,Buy,0,1,4/25/2023 2:34:44 PM,4/25/2023 3:22:30 PM,
bf62945e-be30-4eeb-82f4-ab1d14e18904,EUR/USD,1.1016,Buy,1,0,4/25/2023 12:10:32 PM,4/25/2023 2:57:58 PM,
b392b1ed-19a0-4b62-8b00-b4d88cbb8d8f,Gold,1985,Sell,1,0,4/25/2023 12:30:15 PM,4/25/2023 12:39:04 PM,
d42b311b-d44c-4284-ad1b-f929eeeb74ed,USOil,78.84,Sell,0,1,4/24/2023 4:01:48 PM,4/25/2023 11:44:01 AM,
2e6f4447-c2dd-4689-8ffe-cd655d4d3fd5,Gold,1990,Buy,1,0,4/25/2023 7:43:13 AM,4/25/2023 10:16:57 AM,
698322af-967e-4bc5-bf4e-45dee75314f6,USD/CAD,1.354,Sell,1,0,4/24/2023 12:55:46 PM,4/25/2023 7:36:29 AM,
310a014e-d78e-42a5-bd83-67112322751f,GBP/USD,1.2487,Sell,0,1,4/25/2023 4:54:40 AM,4/25/2023 7:05:30 AM,
8e242ec5-8230-4d9f-9bb2-a3a81dd0ef68,Gold,1980.32,Sell,1,0,4/24/2023 5:50:58 AM,4/24/2023 11:41:54 PM,
9c368522-af81-4efa-9892-a6e4f9ce02a2,GBP/USD,1.2425,Sell,1,0,4/24/2023 6:19:49 AM,4/24/2023 2:40:44 PM,
6fb4d1cc-e518-4336-a97a-c5174ea40ea1,EUR/USD,1.0957,Sell,1,0,4/19/2023 5:27:23 PM,4/24/2023 8:54:21 AM,
d3c52600-6bf5-4a1c-9eac-825fa1ee7443,ETH/USD,1978.14,Buy,1,0,4/19/2023 2:10:29 PM,4/21/2023 8:05:31 PM,
4925dc0c-c87f-4cd7-9f49-f468ab660450,USD/CHF,0.8998,Sell,0,1,4/17/2023 5:22:01 PM,4/21/2023 1:39:27 PM,
75dd54db-5c88-43b8-91ff-a22bae7efd6b,Gold,2002.53,Sell,0,1,4/21/2023 4:56:26 AM,4/21/2023 5:50:45 AM,
24803be0-31ab-4500-ab0a-d389d0e23c37,USD/CAD,1.347,Buy,0,1,4/20/2023 5:29:02 AM,4/21/2023 1:37:16 AM,
72824752-36ec-43bb-bbbb-d990dde2e07b,AUD/USD,0.6718,Buy,0,1,4/18/2023 5:52:58 AM,4/20/2023 12:57:22 PM,
1744740f-ea0e-4ab7-b682-d0fad9f03aed,Gold,1995.32,Sell,1,0,4/19/2023 5:10:58 PM,4/20/2023 12:32:06 PM,
ea0dcebe-46eb-475a-8d77-903c95d3a132,GBP/USD,1.242,Buy,0,1,4/20/2023 5:27:10 AM,4/20/2023 6:14:10 AM,
9de16e97-d6ce-4882-8d6e-99f4e49511c3,EUR/USD,1.0972,Sell,0,1,4/19/2023 6:06:59 AM,4/19/2023 9:30:50 AM,
fd428676-df23-4613-824f-2f80c9bf64ee,BTC/USD,30214,Sell,0,1,4/19/2023 6:29:00 AM,4/19/2023 8:10:28 AM,
7b08d339-21fc-4312-9f56-4f1f589cefaf,Gold,2007.18,Sell,0,1,4/18/2023 4:50:12 PM,4/19/2023 6:08:38 AM,
490fbcba-0598-4442-a153-58f29216a202,Gold,1996.11,Sell,1,0,4/17/2023 7:54:21 PM,4/18/2023 2:09:34 PM,
1f9e9d6f-3804-4249-9d32-c67058ac5118,EUR/USD,1.0941,Buy,0,1,4/18/2023 5:46:03 AM,4/18/2023 7:59:30 AM,
57a914b3-f043-4bf4-8009-789ef3672bd7,EUR/JPY,146.88,Buy,0,1,4/17/2023 1:55:05 PM,4/18/2023 1:40:56 AM,
08b2b652-e43f-40a7-b1e2-9b018302c4bf,EUR/USD,1.0985,Buy,1,0,4/17/2023 8:11:02 AM,4/17/2023 1:21:00 PM,
61365941-8ed0-4655-8390-dd45d331ca68,EUR/USD,1.0979,Sell,0,1,4/17/2023 11:54:19 AM,4/17/2023 1:18:30 PM,
8530b528-a580-4467-84ea-4b9213735669,BTC/USD,29940,Buy,1,0,4/17/2023 4:39:01 AM,4/17/2023 11:34:53 AM,
175b4320-6c07-43ce-8c67-593200c760e7,Gold,2004.29,Buy,0,1,4/17/2023 4:08:30 AM,4/17/2023 5:51:56 AM,
7ce811bb-6dc8-4b91-990d-b21dbae3d352,BTC/USD,30654.7,Buy,1,0,4/14/2023 5:15:46 AM,4/17/2023 12:36:33 AM,
25a54507-9398-478f-9bc9-e2ee71ac762b,Gold,2005.45,Sell,0,1,4/14/2023 8:50:37 PM,4/16/2023 10:00:05 PM,
23fa4766-9cc6-45d4-9e23-0c715e484a90,EUR/JPY,146.27,Buy,0,1,4/13/2023 3:15:08 PM,4/14/2023 6:21:14 PM,
d83163b0-4e93-4c9c-b397-e11f877f7edf,Gold,2020,Buy,0,1,4/14/2023 12:46:13 PM,4/14/2023 1:36:21 PM,
576d20b0-7be2-4ad6-81fd-865ac101aee9,Gold,2043.06,Sell,0,1,4/14/2023 5:08:45 AM,4/14/2023 5:51:47 AM,
8bb659a5-c1de-46a6-a43c-a01d1b18afd3,BTC/USD,30764.7,Buy,0,1,4/14/2023 5:13:29 AM,4/14/2023 5:13:32 AM,
003d7e7f-5ebc-4f2a-9e2e-654d7a39e7dd,Gold,2037.5,Buy,0,1,4/13/2023 3:18:24 PM,4/14/2023 1:37:42 AM,
e01fdab4-9614-49bf-96ec-ac994f79247f,Gold,2040.3,Buy,0,1,4/13/2023 1:13:16 PM,4/13/2023 2:00:39 PM,
2a84bb45-caac-4257-80d9-e8aeeb641003,EUR/GBP,0.878,Sell,1,0,4/6/2023 4:35:45 PM,4/13/2023 1:05:13 PM,
